PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
1,0,3,0,22.0,1,0,7.25,2,3
2,1,1,1,38.0,1,0,71.2833,0,0
3,1,3,1,26.0,0,0,7.925,2,3
4,1,1,1,35.0,1,0,53.1,2,0
5,0,3,0,35.0,0,0,8.05,2,3
6,0,3,0,28.0,0,0,8.4583,1,3
7,0,1,0,54.0,0,0,51.8625,2,1
8,0,3,0,2.0,3,1,21.075,2,3
9,1,3,1,27.0,0,2,11.1333,2,3
10,1,2,1,14.0,1,0,30.0708,0,3
11,1,3,1,4.0,1,1,16.7,2,2
12,1,1,1,58.0,0,0,26.55,2,0
13,0,3,0,20.0,0,0,8.05,2,3
14,0,3,0,39.0,1,5,31.275,2,3
15,0,3,1,14.0,0,0,7.8542,2,3
16,1,2,1,55.0,0,0,16.0,2,3
17,0,3,0,2.0,4,1,29.125,1,3
18,1,2,0,28.0,0,0,13.0,2,3
19,0,3,1,31.0,1,0,18.0,2,3
20,1,3,1,28.0,0,0,7.225,0,3
21,0,2,0,35.0,0,0,26.0,2,3
22,1,2,0,34.0,0,0,13.0,2,1
23,1,3,1,15.0,0,0,8.0292,1,3
24,1,1,0,28.0,0,0,35.5,2,0
25,0,3,1,8.0,3,1,21.075,2,3
26,1,3,1,38.0,1,5,31.3875,2,3
27,0,3,0,28.0,0,0,7.225,0,3
28,0,1,0,19.0,3,2,263.0,2,0
29,1,3,1,28.0,0,0,7.8792,1,3
30,0,3,0,28.0,0,0,7.8958,2,3
31,0,1,0,40.0,0,0,27.7208,0,3
32,1,1,1,28.0,1,0,146.5208,0,0
33,1,3,1,28.0,0,0,7.75,1,3
34,0,2,0,66.0,0,0,10.5,2,3
35,0,1,0,28.0,1,0,82.1708,0,3
36,0,1,0,42.0,1,0,52.0,2,3
37,1,3,0,28.0,0,0,7.2292,0,3
38,0,3,0,21.0,0,0,8.05,2,3
39,0,3,1,18.0,2,0,18.0,2,3
40,1,3,1,14.0,1,0,11.2417,0,3
41,0,3,1,40.0,1,0,9.475,2,3
42,0,2,1,27.0,1,0,21.0,2,3
43,0,3,0,28.0,0,0,7.8958,0,3
44,1,2,1,3.0,1,2,41.5792,0,3
45,1,3,1,19.0,0,0,7.8792,1,3
46,0,3,0,28.0,0,0,8.05,2,3
47,0,3,0,28.0,1,0,15.5,1,3
48,1,3,1,28.0,0,0,7.75,1,3
49,0,3,0,28.0,2,0,21.6792,0,3
50,0,3,1,18.0,1,0,17.8,2,3
51,0,3,0,7.0,4,1,39.6875,2,3
52,0,3,0,21.0,0,0,7.8,2,3
53,1,1,1,49.0,1,0,76.7292,0,1
54,1,2,1,29.0,1,0,26.0,2,3
55,0,1,0,65.0,0,1,61.9792,0,0
56,1,1,0,28.0,0,0,35.5,2,0
57,1,2,1,21.0,0,0,10.5,2,3
58,0,3,0,28.5,0,0,7.2292,0,3
59,1,2,1,5.0,1,2,27.75,2,3
60,0,3,0,11.0,5,2,46.9,2,3
61,0,3,0,22.0,0,0,7.2292,0,3
62,1,1,1,38.0,0,0,80.0,2,0
63,0,1,0,45.0,1,0,83.475,2,0
64,0,3,0,4.0,3,2,27.9,2,3
65,0,1,0,28.0,0,0,27.7208,0,3
66,1,3,0,28.0,1,1,15.2458,0,3
67,1,2,1,29.0,0,0,10.5,2,2
68,0,3,0,19.0,0,0,8.1583,2,3
69,1,3,1,17.0,4,2,7.925,2,3
70,0,3,0,26.0,2,0,8.6625,2,3
71,0,2,0,32.0,0,0,10.5,2,3
72,0,3,1,16.0,5,2,46.9,2,3
73,0,2,0,21.0,0,0,73.5,2,3
74,0,3,0,26.0,1,0,14.4542,0,3
75,1,3,0,32.0,0,0,56.4958,2,3
76,0,3,0,25.0,0,0,7.65,2,2
77,0,3,0,28.0,0,0,7.8958,2,3
78,0,3,0,28.0,0,0,8.05,2,3
79,1,2,0,0.83,0,2,29.0,2,3
80,1,3,1,30.0,0,0,12.475,2,3
81,0,3,0,22.0,0,0,9.0,2,3
82,1,3,0,29.0,0,0,9.5,2,3
83,1,3,1,28.0,0,0,7.7875,1,3
84,0,1,0,28.0,0,0,47.1,2,3
85,1,2,1,17.0,0,0,10.5,2,3
86,1,3,1,33.0,3,0,15.85,2,3
87,0,3,0,16.0,1,3,34.375,2,3
88,0,3,0,28.0,0,0,8.05,2,3
89,1,1,1,23.0,3,2,263.0,2,0
90,0,3,0,24.0,0,0,8.05,2,3
91,0,3,0,29.0,0,0,8.05,2,3
92,0,3,0,20.0,0,0,7.8542,2,3
93,0,1,0,46.0,1,0,61.175,2,1
94,0,3,0,26.0,1,2,20.575,2,3
95,0,3,0,59.0,0,0,7.25,2,3
96,0,3,0,28.0,0,0,8.05,2,3
97,0,1,0,71.0,0,0,34.6542,0,0
98,1,1,0,23.0,0,1,63.3583,0,1
99,1,2,1,34.0,0,1,23.0,2,3
100,0,2,0,34.0,1,0,26.0,2,3
101,0,3,1,28.0,0,0,7.8958,2,3
102,0,3,0,28.0,0,0,7.8958,2,3
103,0,1,0,21.0,0,1,77.2875,2,1
104,0,3,0,33.0,0,0,8.6542,2,3
105,0,3,0,37.0,2,0,7.925,2,3
106,0,3,0,28.0,0,0,7.8958,2,3
107,1,3,1,21.0,0,0,7.65,2,3
108,1,3,0,28.0,0,0,7.775,2,3
109,0,3,0,38.0,0,0,7.8958,2,3
110,1,3,1,28.0,1,0,24.15,1,3
111,0,1,0,47.0,0,0,52.0,2,0
112,0,3,1,14.5,1,0,14.4542,0,3
113,0,3,0,22.0,0,0,8.05,2,3
114,0,3,1,20.0,1,0,9.825,2,3
115,0,3,1,17.0,0,0,14.4583,0,3
116,0,3,0,21.0,0,0,7.925,2,3
117,0,3,0,70.5,0,0,7.75,1,3
118,0,2,0,29.0,1,0,21.0,2,3
119,0,1,0,24.0,0,1,247.5208,0,0
120,0,3,1,2.0,4,2,31.275,2,3
121,0,2,0,21.0,2,0,73.5,2,3
122,0,3,0,28.0,0,0,8.05,2,3
123,0,2,0,32.5,1,0,30.0708,0,3
124,1,2,1,32.5,0,0,13.0,2,1
125,0,1,0,54.0,0,1,77.2875,2,1
126,1,3,0,12.0,1,0,11.2417,0,3
127,0,3,0,28.0,0,0,7.75,1,3
128,1,3,0,24.0,0,0,7.1417,2,3
129,1,3,1,28.0,1,1,22.3583,0,2
130,0,3,0,45.0,0,0,6.975,2,3
131,0,3,0,33.0,0,0,7.8958,0,3
132,0,3,0,20.0,0,0,7.05,2,3
133,0,3,1,47.0,1,0,14.5,2,3
134,1,2,1,29.0,1,0,26.0,2,3
135,0,2,0,25.0,0,0,13.0,2,3
136,0,2,0,23.0,0,0,15.0458,0,3
137,1,1,1,19.0,0,2,26.2833,2,1
138,0,1,0,37.0,1,0,53.1,2,0
139,0,3,0,16.0,0,0,9.2167,2,3
140,0,1,0,24.0,0,0,79.2,0,0
141,0,3,1,28.0,0,2,15.2458,0,3
142,1,3,1,22.0,0,0,7.75,2,3
143,1,3,1,24.0,1,0,15.85,2,3
144,0,3,0,19.0,0,0,6.75,1,3
145,0,2,0,18.0,0,0,11.5,2,3
146,0,2,0,19.0,1,1,36.75,2,3
147,1,3,0,27.0,0,0,7.7958,2,3
148,0,3,1,9.0,2,2,34.375,2,3
149,0,2,0,36.5,0,2,26.0,2,2
150,0,2,0,42.0,0,0,13.0,2,3
151,0,2,0,51.0,0,0,12.525,2,3
152,1,1,1,22.0,1,0,66.6,2,0
153,0,3,0,55.5,0,0,8.05,2,3
154,0,3,0,40.5,0,2,14.5,2,3
155,0,3,0,28.0,0,0,7.3125,2,3
156,0,1,0,51.0,0,1,61.3792,0,3
157,1,3,1,16.0,0,0,7.7333,1,3
158,0,3,0,30.0,0,0,8.05,2,3
159,0,3,0,28.0,0,0,8.6625,2,3
160,0,3,0,28.0,8,2,69.55,2,3
161,0,3,0,44.0,0,1,16.1,2,3
162,1,2,1,40.0,0,0,15.75,2,3
163,0,3,0,26.0,0,0,7.775,2,3
164,0,3,0,17.0,0,0,8.6625,2,3
165,0,3,0,1.0,4,1,39.6875,2,3
166,1,3,0,9.0,0,2,20.525,2,3
167,1,1,1,28.0,0,1,55.0,2,1
168,0,3,1,45.0,1,4,27.9,2,3
169,0,1,0,28.0,0,0,25.925,2,3
170,0,3,0,28.0,0,0,56.4958,2,3
171,0,1,0,61.0,0,0,33.5,2,0
172,0,3,0,4.0,4,1,29.125,1,3
173,1,3,1,1.0,1,1,11.1333,2,3
174,0,3,0,21.0,0,0,7.925,2,3
175,0,1,0,56.0,0,0,30.6958,0,0
176,0,3,0,18.0,1,1,7.8542,2,3
177,0,3,0,28.0,3,1,25.4667,2,3
178,0,1,1,50.0,0,0,28.7125,0,0
179,0,2,0,30.0,0,0,13.0,2,3
180,0,3,0,36.0,0,0,0.0,2,3
181,0,3,1,28.0,8,2,69.55,2,3
182,0,2,0,28.0,0,0,15.05,0,3
183,0,3,0,9.0,4,2,31.3875,2,3
184,1,2,0,1.0,2,1,39.0,2,2
185,1,3,1,4.0,0,2,22.025,2,3
186,0,1,0,28.0,0,0,50.0,2,0
187,1,3,1,28.0,1,0,15.5,1,3
188,1,1,0,45.0,0,0,26.55,2,3
189,0,3,0,40.0,1,1,15.5,1,3
190,0,3,0,36.0,0,0,7.8958,2,3
191,1,2,1,32.0,0,0,13.0,2,3
192,0,2,0,19.0,0,0,13.0,2,3
193,1,3,1,19.0,1,0,7.8542,2,3
194,1,2,0,3.0,1,1,26.0,2,2
195,1,1,1,44.0,0,0,27.7208,0,0
196,1,1,1,58.0,0,0,146.5208,0,0
197,0,3,0,28.0,0,0,7.75,1,3
198,0,3,0,42.0,0,1,8.4042,2,3
199,1,3,1,28.0,0,0,7.75,1,3
200,0,2,1,24.0,0,0,13.0,2,3
201,0,3,0,28.0,0,0,9.5,2,3
202,0,3,0,28.0,8,2,69.55,2,3
203,0,3,0,34.0,0,0,6.4958,2,3
204,0,3,0,45.5,0,0,7.225,0,3
205,1,3,0,18.0,0,0,8.05,2,3
206,0,3,1,2.0,0,1,10.4625,2,2
207,0,3,0,32.0,1,0,15.85,2,3
208,1,3,0,26.0,0,0,18.7875,0,3
209,1,3,1,16.0,0,0,7.75,1,3
210,1,1,0,40.0,0,0,31.0,0,0
211,0,3,0,24.0,0,0,7.05,2,3
212,1,2,1,35.0,0,0,21.0,2,3
213,0,3,0,22.0,0,0,7.25,2,3
214,0,2,0,30.0,0,0,13.0,2,3
215,0,3,0,28.0,1,0,7.75,1,3
216,1,1,1,31.0,1,0,113.275,0,1
217,1,3,1,27.0,0,0,7.925,2,3
218,0,2,0,42.0,1,0,27.0,2,3
219,1,1,1,32.0,0,0,76.2917,0,1
220,0,2,0,30.0,0,0,10.5,2,3
221,1,3,0,16.0,0,0,8.05,2,3
222,0,2,0,27.0,0,0,13.0,2,3
223,0,3,0,51.0,0,0,8.05,2,3
224,0,3,0,28.0,0,0,7.8958,2,3
225,1,1,0,38.0,1,0,90.0,2,0
226,0,3,0,22.0,0,0,9.35,2,3
227,1,2,0,19.0,0,0,10.5,2,3
228,0,3,0,20.5,0,0,7.25,2,3
229,0,2,0,18.0,0,0,13.0,2,3
230,0,3,1,28.0,3,1,25.4667,2,3
231,1,1,1,35.0,1,0,83.475,2,0
232,0,3,0,29.0,0,0,7.775,2,3
233,0,2,0,59.0,0,0,13.5,2,3
234,1,3,1,5.0,4,2,31.3875,2,3
235,0,2,0,24.0,0,0,10.5,2,3
236,0,3,1,28.0,0,0,7.55,2,3
237,0,2,0,44.0,1,0,26.0,2,3
238,1,2,1,8.0,0,2,26.25,2,3
239,0,2,0,19.0,0,0,10.5,2,3
240,0,2,0,33.0,0,0,12.275,2,3
241,0,3,1,28.0,1,0,14.4542,0,3
242,1,3,1,28.0,1,0,15.5,1,3
243,0,2,0,29.0,0,0,10.5,2,3
244,0,3,0,22.0,0,0,7.125,2,3
245,0,3,0,30.0,0,0,7.225,0,3
246,0,1,0,44.0,2,0,90.0,1,0
247,0,3,1,25.0,0,0,7.775,2,3
248,1,2,1,24.0,0,2,14.5,2,3
249,1,1,0,37.0,1,1,52.5542,2,1
250,0,2,0,54.0,1,0,26.0,2,3
251,0,3,0,28.0,0,0,7.25,2,3
252,0,3,1,29.0,1,1,10.4625,2,2
253,0,1,0,62.0,0,0,26.55,2,0
254,0,3,0,30.0,1,0,16.1,2,3
255,0,3,1,41.0,0,2,20.2125,2,3
256,1,3,1,29.0,0,2,15.2458,0,3
257,1,1,1,28.0,0,0,79.2,0,3
258,1,1,1,30.0,0,0,86.5,2,0
259,1,1,1,35.0,0,0,512.3292,0,3
260,1,2,1,50.0,0,1,26.0,2,3
261,0,3,0,28.0,0,0,7.75,1,3
262,1,3,0,3.0,4,2,31.3875,2,3
263,0,1,0,52.0,1,1,79.65,2,1
264,0,1,0,40.0,0,0,0.0,2,0
265,0,3,1,28.0,0,0,7.75,1,3
266,0,2,0,36.0,0,0,10.5,2,3
267,0,3,0,16.0,4,1,39.6875,2,3
268,1,3,0,25.0,1,0,7.775,2,3
269,1,1,1,58.0,0,1,153.4625,2,0
270,1,1,1,35.0,0,0,135.6333,2,0
271,0,1,0,28.0,0,0,31.0,2,3
272,1,3,0,25.0,0,0,0.0,2,3
273,1,2,1,41.0,0,1,19.5,2,3
274,0,1,0,37.0,0,1,29.7,0,0
275,1,3,1,28.0,0,0,7.75,1,3
276,1,1,1,63.0,1,0,77.9583,2,1
277,0,3,1,45.0,0,0,7.75,2,3
278,0,2,0,28.0,0,0,0.0,2,3
279,0,3,0,7.0,4,1,29.125,1,3
280,1,3,1,35.0,1,1,20.25,2,3
281,0,3,0,65.0,0,0,7.75,1,3
282,0,3,0,28.0,0,0,7.8542,2,3
283,0,3,0,16.0,0,0,9.5,2,3
284,1,3,0,19.0,0,0,8.05,2,3
285,0,1,0,28.0,0,0,26.0,2,0
286,0,3,0,33.0,0,0,8.6625,0,3
287,1,3,0,30.0,0,0,9.5,2,3
288,0,3,0,22.0,0,0,7.8958,2,3
289,1,2,0,42.0,0,0,13.0,2,3
290,1,3,1,22.0,0,0,7.75,1,3
291,1,1,1,26.0,0,0,78.85,2,3
292,1,1,1,19.0,1,0,91.0792,0,0
293,0,2,0,36.0,0,0,12.875,0,1
294,0,3,1,24.0,0,0,8.85,2,3
295,0,3,0,24.0,0,0,7.8958,2,3
296,0,1,0,28.0,0,0,27.7208,0,3
297,0,3,0,23.5,0,0,7.2292,0,3
298,0,1,1,2.0,1,2,151.55,2,0
299,1,1,0,28.0,0,0,30.5,2,0
300,1,1,1,50.0,0,1,247.5208,0,0
301,1,3,1,28.0,0,0,7.75,1,3
302,1,3,0,28.0,2,0,23.25,1,3
303,0,3,0,19.0,0,0,0.0,2,3
304,1,2,1,28.0,0,0,12.35,1,1
305,0,3,0,28.0,0,0,8.05,2,3
306,1,1,0,0.92,1,2,151.55,2,0
307,1,1,1,28.0,0,0,110.8833,0,3
308,1,1,1,17.0,1,0,108.9,0,0
309,0,2,0,30.0,1,0,24.0,0,3
310,1,1,1,30.0,0,0,56.9292,0,1
311,1,1,1,24.0,0,0,83.1583,0,0
312,1,1,1,18.0,2,2,262.375,0,0
313,0,2,1,26.0,1,1,26.0,2,3
314,0,3,0,28.0,0,0,7.8958,2,3
315,0,2,0,43.0,1,1,26.25,2,3
316,1,3,1,26.0,0,0,7.8542,2,3
317,1,2,1,24.0,1,0,26.0,2,3
318,0,2,0,54.0,0,0,14.0,2,3
319,1,1,1,31.0,0,2,164.8667,2,0
320,1,1,1,40.0,1,1,134.5,0,1
321,0,3,0,22.0,0,0,7.25,2,3
322,0,3,0,27.0,0,0,7.8958,2,3
323,1,2,1,30.0,0,0,12.35,1,3
324,1,2,1,22.0,1,1,29.0,2,3
325,0,3,0,28.0,8,2,69.55,2,3
326,1,1,1,36.0,0,0,135.6333,0,0
327,0,3,0,61.0,0,0,6.2375,2,3
328,1,2,1,36.0,0,0,13.0,2,1
329,1,3,1,31.0,1,1,20.525,2,3
330,1,1,1,16.0,0,1,57.9792,0,0
331,1,3,1,28.0,2,0,23.25,1,3
332,0,1,0,45.5,0,0,28.5,2,0
333,0,1,0,38.0,0,1,153.4625,2,0
334,0,3,0,16.0,2,0,18.0,2,3
335,1,1,1,28.0,1,0,133.65,2,3
336,0,3,0,28.0,0,0,7.8958,2,3
337,0,1,0,29.0,1,0,66.6,2,0
338,1,1,1,41.0,0,0,134.5,0,1
339,1,3,0,45.0,0,0,8.05,2,3
340,0,1,0,45.0,0,0,35.5,2,0
341,1,2,0,2.0,1,1,26.0,2,2
342,1,1,1,24.0,3,2,263.0,2,0
343,0,2,0,28.0,0,0,13.0,2,3
344,0,2,0,25.0,0,0,13.0,2,3
345,0,2,0,36.0,0,0,13.0,2,3
346,1,2,1,24.0,0,0,13.0,2,2
347,1,2,1,40.0,0,0,13.0,2,3
348,1,3,1,28.0,1,0,16.1,2,3
349,1,3,0,3.0,1,1,15.9,2,3
350,0,3,0,42.0,0,0,8.6625,2,3
351,0,3,0,23.0,0,0,9.225,2,3
352,0,1,0,28.0,0,0,35.0,2,0
353,0,3,0,15.0,1,1,7.2292,0,3
354,0,3,0,25.0,1,0,17.8,2,3
355,0,3,0,28.0,0,0,7.225,0,3
356,0,3,0,28.0,0,0,9.5,2,3
357,1,1,1,22.0,0,1,55.0,2,1
358,0,2,1,38.0,0,0,13.0,2,3
359,1,3,1,28.0,0,0,7.8792,1,3
360,1,3,1,28.0,0,0,7.8792,1,3
361,0,3,0,40.0,1,4,27.9,2,3
362,0,2,0,29.0,1,0,27.7208,0,3
363,0,3,1,45.0,0,1,14.4542,0,3
364,0,3,0,35.0,0,0,7.05,2,3
365,0,3,0,28.0,1,0,15.5,1,3
366,0,3,0,30.0,0,0,7.25,2,3
367,1,1,1,60.0,1,0,75.25,0,1
368,1,3,1,28.0,0,0,7.2292,0,3
369,1,3,1,28.0,0,0,7.75,1,3
370,1,1,1,24.0,0,0,69.3,0,0
371,1,1,0,25.0,1,0,55.4417,0,1
372,0,3,0,18.0,1,0,6.4958,2,3
373,0,3,0,19.0,0,0,8.05,2,3
374,0,1,0,22.0,0,0,135.6333,0,3
375,0,3,1,3.0,3,1,21.075,2,3
376,1,1,1,28.0,1,0,82.1708,0,3
377,1,3,1,22.0,0,0,7.25,2,3
378,0,1,0,27.0,0,2,211.5,0,0
379,0,3,0,20.0,0,0,4.0125,0,3
380,0,3,0,19.0,0,0,7.775,2,3
381,1,1,1,42.0,0,0,227.525,0,3
382,1,3,1,1.0,0,2,15.7417,0,3
383,0,3,0,32.0,0,0,7.925,2,3
384,1,1,1,35.0,1,0,52.0,2,3
385,0,3,0,28.0,0,0,7.8958,2,3
386,0,2,0,18.0,0,0,73.5,2,3
387,0,3,0,1.0,5,2,46.9,2,3
388,1,2,1,36.0,0,0,13.0,2,3
389,0,3,0,28.0,0,0,7.7292,1,3
390,1,2,1,17.0,0,0,12.0,0,3
391,1,1,0,36.0,1,2,120.0,2,0
392,1,3,0,21.0,0,0,7.7958,2,3
393,0,3,0,28.0,2,0,7.925,2,3
394,1,1,1,23.0,1,0,113.275,0,1
395,1,3,1,24.0,0,2,16.7,2,2
396,0,3,0,22.0,0,0,7.7958,2,3
397,0,3,1,31.0,0,0,7.8542,2,3
398,0,2,0,46.0,0,0,26.0,2,3
399,0,2,0,23.0,0,0,10.5,2,3
400,1,2,1,28.0,0,0,12.65,2,3
401,1,3,0,39.0,0,0,7.925,2,3
402,0,3,0,26.0,0,0,8.05,2,3
403,0,3,1,21.0,1,0,9.825,2,3
404,0,3,0,28.0,1,0,15.85,2,3
405,0,3,1,20.0,0,0,8.6625,2,3
406,0,2,0,34.0,1,0,21.0,2,3
407,0,3,0,51.0,0,0,7.75,2,3
408,1,2,0,3.0,1,1,18.75,2,3
409,0,3,0,21.0,0,0,7.775,2,3
410,0,3,1,28.0,3,1,25.4667,2,3
411,0,3,0,28.0,0,0,7.8958,2,3
412,0,3,0,28.0,0,0,6.8583,1,3
413,1,1,1,33.0,1,0,90.0,1,0
414,0,2,0,28.0,0,0,0.0,2,3
415,1,3,0,44.0,0,0,7.925,2,3
416,0,3,1,28.0,0,0,8.05,2,3
417,1,2,1,34.0,1,1,32.5,2,3
418,1,2,1,18.0,0,2,13.0,2,3
419,0,2,0,30.0,0,0,13.0,2,3
420,0,3,1,10.0,0,2,24.15,2,3
421,0,3,0,28.0,0,0,7.8958,0,3
422,0,3,0,21.0,0,0,7.7333,1,3
423,0,3,0,29.0,0,0,7.875,2,3
424,0,3,1,28.0,1,1,14.4,2,3
425,0,3,0,18.0,1,1,20.2125,2,3
426,0,3,0,28.0,0,0,7.25,2,3
427,1,2,1,28.0,1,0,26.0,2,3
428,1,2,1,19.0,0,0,26.0,2,3
429,0,3,0,28.0,0,0,7.75,1,3
430,1,3,0,32.0,0,0,8.05,2,1
431,1,1,0,28.0,0,0,26.55,2,0
432,1,3,1,28.0,1,0,16.1,2,3
433,1,2,1,42.0,1,0,26.0,2,3
434,0,3,0,17.0,0,0,7.125,2,3
435,0,1,0,50.0,1,0,55.9,2,1
436,1,1,1,14.0,1,2,120.0,2,0
437,0,3,1,21.0,2,2,34.375,2,3
438,1,2,1,24.0,2,3,18.75,2,3
439,0,1,0,64.0,1,4,263.0,2,0
440,0,2,0,31.0,0,0,10.5,2,3
441,1,2,1,45.0,1,1,26.25,2,3
442,0,3,0,20.0,0,0,9.5,2,3
443,0,3,0,25.0,1,0,7.775,2,3
444,1,2,1,28.0,0,0,13.0,2,3
445,1,3,0,28.0,0,0,8.1125,2,3
446,1,1,0,4.0,0,2,81.8583,2,0
