PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
447,1,2,1,13.0,0,1,19.5,2,3
448,1,1,0,34.0,0,0,26.55,2,3
449,1,3,1,5.0,2,1,19.2583,0,3
450,1,1,0,52.0,0,0,30.5,2,0
451,0,2,0,36.0,1,2,27.75,2,3
452,0,3,0,28.0,1,0,19.9667,2,3
453,0,1,0,30.0,0,0,27.75,0,0
454,1,1,0,49.0,1,0,89.1042,0,0
455,0,3,0,28.0,0,0,8.05,2,3
456,1,3,0,29.0,0,0,7.8958,0,3
457,0,1,0,65.0,0,0,26.55,2,1
458,1,1,1,28.0,1,0,51.8625,2,1
459,1,2,1,50.0,0,0,10.5,2,3
460,0,3,0,28.0,0,0,7.75,1,3
461,1,1,0,48.0,0,0,26.55,2,1
462,0,3,0,34.0,0,0,8.05,2,3
463,0,1,0,47.0,0,0,38.5,2,1
464,0,2,0,48.0,0,0,13.0,2,3
465,0,3,0,28.0,0,0,8.05,2,3
466,0,3,0,38.0,0,0,7.05,2,3
467,0,2,0,28.0,0,0,0.0,2,3
468,0,1,0,56.0,0,0,26.55,2,3
469,0,3,0,28.0,0,0,7.725,1,3
470,1,3,1,0.75,2,1,19.2583,0,3
471,0,3,0,28.0,0,0,7.25,2,3
472,0,3,0,38.0,0,0,8.6625,2,3
473,1,2,1,33.0,1,2,27.75,2,3
474,1,2,1,23.0,0,0,13.7917,0,1
475,0,3,1,22.0,0,0,9.8375,2,3
476,0,1,0,28.0,0,0,52.0,2,0
477,0,2,0,34.0,1,0,21.0,2,3
478,0,3,0,29.0,1,0,7.0458,2,3
479,0,3,0,22.0,0,0,7.5208,2,3
480,1,3,1,2.0,0,1,12.2875,2,3
481,0,3,0,9.0,5,2,46.9,2,3
482,0,2,0,28.0,0,0,0.0,2,3
483,0,3,0,50.0,0,0,8.05,2,3
484,1,3,1,63.0,0,0,9.5875,2,3
485,1,1,0,25.0,1,0,91.0792,0,0
486,0,3,1,28.0,3,1,25.4667,2,3
487,1,1,1,35.0,1,0,90.0,2,0
488,0,1,0,58.0,0,0,29.7,0,0
489,0,3,0,30.0,0,0,8.05,2,3
490,1,3,0,9.0,1,1,15.9,2,3
491,0,3,0,28.0,1,0,19.9667,2,3
492,0,3,0,21.0,0,0,7.25,2,3
493,0,1,0,55.0,0,0,30.5,2,0
494,0,1,0,71.0,0,0,49.5042,0,3
495,0,3,0,21.0,0,0,8.05,2,3
496,0,3,0,28.0,0,0,14.4583,0,3
497,1,1,1,54.0,1,0,78.2667,0,1
498,0,3,0,28.0,0,0,15.1,2,3
499,0,1,1,25.0,1,2,151.55,2,0
500,0,3,0,24.0,0,0,7.7958,2,3
501,0,3,0,17.0,0,0,8.6625,2,3
502,0,3,1,21.0,0,0,7.75,1,3
503,0,3,1,28.0,0,0,7.6292,1,3
504,0,3,1,37.0,0,0,9.5875,2,3
505,1,1,1,16.0,0,0,86.5,2,0
506,0,1,0,18.0,1,0,108.9,0,0
507,1,2,1,33.0,0,2,26.0,2,3
508,1,1,0,28.0,0,0,26.55,2,3
509,0,3,0,28.0,0,0,22.525,2,3
510,1,3,0,26.0,0,0,56.4958,2,3
511,1,3,0,29.0,0,0,7.75,1,3
512,0,3,0,28.0,0,0,8.05,2,3
513,1,1,0,36.0,0,0,26.2875,2,1
514,1,1,1,54.0,1,0,59.4,0,3
515,0,3,0,24.0,0,0,7.4958,2,3
516,0,1,0,47.0,0,0,34.0208,2,1
517,1,2,1,34.0,0,0,10.5,2,2
518,0,3,0,28.0,0,0,24.15,1,3
519,1,2,1,36.0,1,0,26.0,2,3
520,0,3,0,32.0,0,0,7.8958,2,3
521,1,1,1,30.0,0,0,93.5,2,0
522,0,3,0,22.0,0,0,7.8958,2,3
523,0,3,0,28.0,0,0,7.225,0,3
524,1,1,1,44.0,0,1,57.9792,0,0
525,0,3,0,28.0,0,0,7.2292,0,3
526,0,3,0,40.5,0,0,7.75,1,3
527,1,2,1,50.0,0,0,10.5,2,3
528,0,1,0,28.0,0,0,221.7792,2,0
529,0,3,0,39.0,0,0,7.925,2,3
530,0,2,0,23.0,2,1,11.5,2,3
531,1,2,1,2.0,1,1,26.0,2,3
532,0,3,0,28.0,0,0,7.2292,0,3
533,0,3,0,17.0,1,1,7.2292,0,3
534,1,3,1,28.0,0,2,22.3583,0,3
535,0,3,1,30.0,0,0,8.6625,2,3
536,1,2,1,7.0,0,2,26.25,2,3
537,0,1,0,45.0,0,0,26.55,2,0
538,1,1,1,30.0,0,0,106.425,0,3
539,0,3,0,28.0,0,0,14.5,2,3
540,1,1,1,22.0,0,2,49.5,0,0
541,1,1,1,36.0,0,2,71.0,2,0
542,0,3,1,9.0,4,2,31.275,2,3
543,0,3,1,11.0,4,2,31.275,2,3
544,1,2,0,32.0,1,0,26.0,2,3
545,0,1,0,50.0,1,0,106.425,0,0
546,0,1,0,64.0,0,0,26.0,2,3
547,1,2,1,19.0,1,0,26.0,2,3
548,1,2,0,28.0,0,0,13.8625,0,3
549,0,3,0,33.0,1,1,20.525,2,3
550,1,2,0,8.0,1,1,36.75,2,3
551,1,1,0,17.0,0,2,110.8833,0,0
552,0,2,0,27.0,0,0,26.0,2,3
553,0,3,0,28.0,0,0,7.8292,1,3
554,1,3,0,22.0,0,0,7.225,0,3
555,1,3,1,22.0,0,0,7.775,2,3
556,0,1,0,62.0,0,0,26.55,2,3
557,1,1,1,48.0,1,0,39.6,0,0
558,0,1,0,28.0,0,0,227.525,0,3
559,1,1,1,39.0,1,1,79.65,2,1
560,1,3,1,36.0,1,0,17.4,2,3
561,0,3,0,28.0,0,0,7.75,1,3
562,0,3,0,40.0,0,0,7.8958,2,3
563,0,2,0,28.0,0,0,13.5,2,3
564,0,3,0,28.0,0,0,8.05,2,3
565,0,3,1,28.0,0,0,8.05,2,3
566,0,3,0,24.0,2,0,24.15,2,3
567,0,3,0,19.0,0,0,7.8958,2,3
568,0,3,1,29.0,0,4,21.075,2,3
569,0,3,0,28.0,0,0,7.2292,0,3
570,1,3,0,32.0,0,0,7.8542,2,3
571,1,2,0,62.0,0,0,10.5,2,3
572,1,1,1,53.0,2,0,51.4792,2,0
573,1,1,0,36.0,0,0,26.3875,2,1
574,1,3,1,28.0,0,0,7.75,1,3
575,0,3,0,16.0,0,0,8.05,2,3
576,0,3,0,19.0,0,0,14.5,2,3
577,1,2,1,34.0,0,0,13.0,2,3
578,1,1,1,39.0,1,0,55.9,2,1
579,0,3,1,28.0,1,0,14.4583,0,3
580,1,3,0,32.0,0,0,7.925,2,3
581,1,2,1,25.0,1,1,30.0,2,3
582,1,1,1,39.0,1,1,110.8833,0,0
583,0,2,0,54.0,0,0,26.0,2,3
584,0,1,0,36.0,0,0,40.125,0,0
585,0,3,0,28.0,0,0,8.7125,0,3
586,1,1,1,18.0,0,2,79.65,2,1
587,0,2,0,47.0,0,0,15.0,2,3
588,1,1,0,60.0,1,1,79.2,0,0
589,0,3,0,22.0,0,0,8.05,2,3
590,0,3,0,28.0,0,0,8.05,2,3
591,0,3,0,35.0,0,0,7.125,2,3
592,1,1,1,52.0,1,0,78.2667,0,1
593,0,3,0,47.0,0,0,7.25,2,3
594,0,3,1,28.0,0,2,7.75,1,3
595,0,2,0,37.0,1,0,26.0,2,3
596,0,3,0,36.0,1,1,24.15,2,3
597,1,2,1,28.0,0,0,33.0,2,3
598,0,3,0,49.0,0,0,0.0,2,3
599,0,3,0,28.0,0,0,7.225,0,3
600,1,1,0,49.0,1,0,56.9292,0,0
601,1,2,1,24.0,2,1,27.0,2,3
602,0,3,0,28.0,0,0,7.8958,2,3
603,0,1,0,28.0,0,0,42.4,2,3
604,0,3,0,44.0,0,0,8.05,2,3
605,1,1,0,35.0,0,0,26.55,0,3
606,0,3,0,36.0,1,0,15.55,2,3
607,0,3,0,30.0,0,0,7.8958,2,3
608,1,1,0,27.0,0,0,30.5,2,3
609,1,2,1,22.0,1,2,41.5792,0,3
610,1,1,1,40.0,0,0,153.4625,2,0
611,0,3,1,39.0,1,5,31.275,2,3
612,0,3,0,28.0,0,0,7.05,2,3
613,1,3,1,28.0,1,0,15.5,1,3
614,0,3,0,28.0,0,0,7.75,1,3
615,0,3,0,35.0,0,0,8.05,2,3
616,1,2,1,24.0,1,2,65.0,2,3
617,0,3,0,34.0,1,1,14.4,2,3
618,0,3,1,26.0,1,0,16.1,2,3
619,1,2,1,4.0,2,1,39.0,2,2
620,0,2,0,26.0,0,0,10.5,2,3
621,0,3,0,27.0,1,0,14.4542,0,3
622,1,1,0,42.0,1,0,52.5542,2,1
623,1,3,0,20.0,1,1,15.7417,0,3
624,0,3,0,21.0,0,0,7.8542,2,3
625,0,3,0,21.0,0,0,16.1,2,3
626,0,1,0,61.0,0,0,32.3208,2,1
627,0,2,0,57.0,0,0,12.35,1,3
628,1,1,1,21.0,0,0,77.9583,2,1
629,0,3,0,26.0,0,0,7.8958,2,3
630,0,3,0,28.0,0,0,7.7333,1,3
631,1,1,0,80.0,0,0,30.0,2,0
632,0,3,0,51.0,0,0,7.0542,2,3
633,1,1,0,32.0,0,0,30.5,0,0
634,0,1,0,28.0,0,0,0.0,2,3
635,0,3,1,9.0,3,2,27.9,2,3
636,1,2,1,28.0,0,0,13.0,2,3
637,0,3,0,32.0,0,0,7.925,2,3
638,0,2,0,31.0,1,1,26.25,2,3
639,0,3,1,41.0,0,5,39.6875,2,3
640,0,3,0,28.0,1,0,16.1,2,3
641,0,3,0,20.0,0,0,7.8542,2,3
642,1,1,1,24.0,0,0,69.3,0,0
643,0,3,1,2.0,3,2,27.9,2,3
644,1,3,0,28.0,0,0,56.4958,2,3
645,1,3,1,0.75,2,1,19.2583,0,3
646,1,1,0,48.0,1,0,76.7292,0,1
647,0,3,0,19.0,0,0,7.8958,2,3
648,1,1,0,56.0,0,0,35.5,0,0
649,0,3,0,28.0,0,0,7.55,2,3
650,1,3,1,23.0,0,0,7.55,2,3
651,0,3,0,28.0,0,0,7.8958,2,3
652,1,2,1,18.0,0,1,23.0,2,3
653,0,3,0,21.0,0,0,8.4333,2,3
654,1,3,1,28.0,0,0,7.8292,1,3
655,0,3,1,18.0,0,0,6.75,1,3
656,0,2,0,24.0,2,0,73.5,2,3
657,0,3,0,28.0,0,0,7.8958,2,3
658,0,3,1,32.0,1,1,15.5,1,3
659,0,2,0,23.0,0,0,13.0,2,3
660,0,1,0,58.0,0,2,113.275,0,1
661,1,1,0,50.0,2,0,133.65,2,3
662,0,3,0,40.0,0,0,7.225,0,3
663,0,1,0,47.0,0,0,25.5875,2,1
664,0,3,0,36.0,0,0,7.4958,2,3
665,1,3,0,20.0,1,0,7.925,2,3
666,0,2,0,32.0,2,0,73.5,2,3
667,0,2,0,25.0,0,0,13.0,2,3
668,0,3,0,28.0,0,0,7.775,2,3
669,0,3,0,43.0,0,0,8.05,2,3
670,1,1,1,28.0,1,0,52.0,2,0
671,1,2,1,40.0,1,1,39.0,2,3
672,0,1,0,31.0,1,0,52.0,2,0
673,0,2,0,70.0,0,0,10.5,2,3
674,1,2,0,31.0,0,0,13.0,2,3
675,0,2,0,28.0,0,0,0.0,2,3
676,0,3,0,18.0,0,0,7.775,2,3
677,0,3,0,24.5,0,0,8.05,2,3
678,1,3,1,18.0,0,0,9.8417,2,3
679,0,3,1,43.0,1,6,46.9,2,3
680,1,1,0,36.0,0,1,512.3292,0,0
681,0,3,1,28.0,0,0,8.1375,1,3
682,1,1,0,27.0,0,0,76.7292,0,1
683,0,3,0,20.0,0,0,9.225,2,3
684,0,3,0,14.0,5,2,46.9,2,3
685,0,2,0,60.0,1,1,39.0,2,3
686,0,2,0,25.0,1,2,41.5792,0,3
687,0,3,0,14.0,4,1,39.6875,2,3
688,0,3,0,19.0,0,0,10.1708,2,3
689,0,3,0,18.0,0,0,7.7958,2,3
690,1,1,1,15.0,0,1,211.3375,2,0
691,1,1,0,31.0,1,0,57.0,2,0
692,1,3,1,4.0,0,1,13.4167,0,3
693,1,3,0,28.0,0,0,56.4958,2,3
694,0,3,0,25.0,0,0,7.225,0,3
695,0,1,0,60.0,0,0,26.55,2,3
696,0,2,0,52.0,0,0,13.5,2,3
697,0,3,0,44.0,0,0,8.05,2,3
698,1,3,1,28.0,0,0,7.7333,1,3
699,0,1,0,49.0,1,1,110.8833,0,0
700,0,3,0,42.0,0,0,7.65,2,2
701,1,1,1,18.0,1,0,227.525,0,0
702,1,1,0,35.0,0,0,26.2875,2,1
703,0,3,1,18.0,0,1,14.4542,0,3
704,0,3,0,25.0,0,0,7.7417,1,3
705,0,3,0,26.0,1,0,7.8542,2,3
706,0,2,0,39.0,0,0,26.0,2,3
707,1,2,1,45.0,0,0,13.5,2,3
708,1,1,0,42.0,0,0,26.2875,2,1
709,1,1,1,22.0,0,0,151.55,2,3
710,1,3,0,28.0,1,1,15.2458,0,3
711,1,1,1,24.0,0,0,49.5042,0,0
712,0,1,0,28.0,0,0,26.55,2,0
713,1,1,0,48.0,1,0,52.0,2,0
714,0,3,0,29.0,0,0,9.4833,2,3
715,0,2,0,52.0,0,0,13.0,2,3
716,0,3,0,19.0,0,0,7.65,2,2
717,1,1,1,38.0,0,0,227.525,0,0
718,1,2,1,27.0,0,0,10.5,2,1
719,0,3,0,28.0,0,0,15.5,1,3
720,0,3,0,33.0,0,0,7.775,2,3
721,1,2,1,6.0,0,1,33.0,2,3
722,0,3,0,17.0,1,0,7.0542,2,3
723,0,2,0,34.0,0,0,13.0,2,3
724,0,2,0,50.0,0,0,13.0,2,3
725,1,1,0,27.0,1,0,53.1,2,1
726,0,3,0,20.0,0,0,8.6625,2,3
727,1,2,1,30.0,3,0,21.0,2,3
728,1,3,1,28.0,0,0,7.7375,1,3
729,0,2,0,25.0,1,0,26.0,2,3
730,0,3,1,25.0,1,0,7.925,2,3
731,1,1,1,29.0,0,0,211.3375,2,0
732,0,3,0,11.0,0,0,18.7875,0,3
733,0,2,0,28.0,0,0,0.0,2,3
734,0,2,0,23.0,0,0,13.0,2,3
735,0,2,0,23.0,0,0,13.0,2,3
736,0,3,0,28.5,0,0,16.1,2,3
737,0,3,1,48.0,1,3,34.375,2,3
738,1,1,0,35.0,0,0,512.3292,0,0
739,0,3,0,28.0,0,0,7.8958,2,3
740,0,3,0,28.0,0,0,7.8958,2,3
741,1,1,0,28.0,0,0,30.0,2,1
742,0,1,0,36.0,1,0,78.85,2,0
743,1,1,1,21.0,2,2,262.375,0,0
744,0,3,0,24.0,1,0,16.1,2,3
745,1,3,0,31.0,0,0,7.925,2,3
746,0,1,0,70.0,1,1,71.0,2,0
747,0,3,0,16.0,1,1,20.25,2,3
748,1,2,1,30.0,0,0,13.0,2,3
749,0,1,0,19.0,1,0,53.1,2,1
750,0,3,0,31.0,0,0,7.75,1,3
751,1,2,1,4.0,1,1,23.0,2,3
752,1,3,0,6.0,0,1,12.475,2,1
753,0,3,0,33.0,0,0,9.5,2,3
754,0,3,0,23.0,0,0,7.8958,2,3
755,1,2,1,48.0,1,2,65.0,2,3
756,1,2,0,0.67,1,1,14.5,2,3
757,0,3,0,28.0,0,0,7.7958,2,3
758,0,2,0,18.0,0,0,11.5,2,3
759,0,3,0,34.0,0,0,8.05,2,3
760,1,1,1,33.0,0,0,86.5,2,0
761,0,3,0,28.0,0,0,14.5,2,3
762,0,3,0,41.0,0,0,7.125,2,3
763,1,3,0,20.0,0,0,7.2292,0,3
764,1,1,1,36.0,1,2,120.0,2,0
765,0,3,0,16.0,0,0,7.775,2,3
766,1,1,1,51.0,1,0,77.9583,2,1
767,0,1,0,28.0,0,0,39.6,0,3
768,0,3,1,30.5,0,0,7.75,1,3
769,0,3,0,28.0,1,0,24.15,1,3
770,0,3,0,32.0,0,0,8.3625,2,3
771,0,3,0,24.0,0,0,9.5,2,3
772,0,3,0,48.0,0,0,7.8542,2,3
773,0,2,1,57.0,0,0,10.5,2,1
774,0,3,0,28.0,0,0,7.225,0,3
775,1,2,1,54.0,1,3,23.0,2,3
776,0,3,0,18.0,0,0,7.75,2,3
777,0,3,0,28.0,0,0,7.75,1,2
778,1,3,1,5.0,0,0,12.475,2,3
779,0,3,0,28.0,0,0,7.7375,1,3
780,1,1,1,43.0,0,1,211.3375,2,0
781,1,3,1,13.0,0,0,7.2292,0,3
782,1,1,1,17.0,1,0,57.0,2,0
783,0,1,0,29.0,0,0,30.0,2,1
784,0,3,0,28.0,1,2,23.45,2,3
785,0,3,0,25.0,0,0,7.05,2,3
786,0,3,0,25.0,0,0,7.25,2,3
787,1,3,1,18.0,0,0,7.4958,2,3
788,0,3,0,8.0,4,1,29.125,1,3
789,1,3,0,1.0,1,2,20.575,2,3
790,0,1,0,46.0,0,0,79.2,0,0
791,0,3,0,28.0,0,0,7.75,1,3
792,0,2,0,16.0,0,0,26.0,2,3
793,0,3,1,28.0,8,2,69.55,2,3
794,0,1,0,28.0,0,0,30.6958,0,3
795,0,3,0,25.0,0,0,7.8958,2,3
796,0,2,0,39.0,0,0,13.0,2,3
797,1,1,1,49.0,0,0,25.9292,2,1
798,1,3,1,31.0,0,0,8.6833,2,3
799,0,3,0,30.0,0,0,7.2292,0,3
800,0,3,1,30.0,1,1,24.15,2,3
801,0,2,0,34.0,0,0,13.0,2,3
802,1,2,1,31.0,1,1,26.25,2,3
803,1,1,0,11.0,1,2,120.0,2,0
804,1,3,0,0.42,0,1,8.5167,0,3
805,1,3,0,27.0,0,0,6.975,2,3
806,0,3,0,31.0,0,0,7.775,2,3
807,0,1,0,39.0,0,0,0.0,2,0
808,0,3,1,18.0,0,0,7.775,2,3
809,0,2,0,39.0,0,0,13.0,2,3
810,1,1,1,33.0,1,0,53.1,2,1
811,0,3,0,26.0,0,0,7.8875,2,3
812,0,3,0,39.0,0,0,24.15,2,3
813,0,2,0,35.0,0,0,10.5,2,3
814,0,3,1,6.0,4,2,31.275,2,3
815,0,3,0,30.5,0,0,8.05,2,3
816,0,1,0,28.0,0,0,0.0,2,0
817,0,3,1,23.0,0,0,7.925,2,3
818,0,2,0,31.0,1,1,37.0042,0,3
819,0,3,0,43.0,0,0,6.45,2,3
820,0,3,0,10.0,3,2,27.9,2,3
821,1,1,1,52.0,1,1,93.5,2,0
822,1,3,0,27.0,0,0,8.6625,2,3
823,0,1,0,38.0,0,0,0.0,2,3
824,1,3,1,27.0,0,1,12.475,2,1
825,0,3,0,2.0,4,1,39.6875,2,3
826,0,3,0,28.0,0,0,6.95,1,3
827,0,3,0,28.0,0,0,56.4958,2,3
828,1,2,0,1.0,0,2,37.0042,0,3
829,1,3,0,28.0,0,0,7.75,1,3
830,1,1,1,62.0,0,0,80.0,2,0
831,1,3,1,15.0,1,0,14.4542,0,3
832,1,2,0,0.83,1,1,18.75,2,3
833,0,3,0,28.0,0,0,7.2292,0,3
834,0,3,0,23.0,0,0,7.8542,2,3
835,0,3,0,18.0,0,0,8.3,2,3
836,1,1,1,39.0,1,1,83.1583,0,1
837,0,3,0,21.0,0,0,8.6625,2,3
838,0,3,0,28.0,0,0,8.05,2,3
839,1,3,0,32.0,0,0,56.4958,2,3
840,1,1,0,28.0,0,0,29.7,0,0
841,0,3,0,20.0,0,0,7.925,2,3
842,0,2,0,16.0,0,0,10.5,2,3
843,1,1,1,30.0,0,0,31.0,0,3
844,0,3,0,34.5,0,0,6.4375,0,3
845,0,3,0,17.0,0,0,8.6625,2,3
846,0,3,0,42.0,0,0,7.55,2,3
847,0,3,0,28.0,8,2,69.55,2,3
848,0,3,0,35.0,0,0,7.8958,0,3
849,0,2,0,28.0,0,1,33.0,2,3
850,1,1,1,28.0,1,0,89.1042,0,0
851,0,3,0,4.0,4,2,31.275,2,3
852,0,3,0,74.0,0,0,7.775,2,3
853,0,3,1,9.0,1,1,15.2458,0,3
854,1,1,1,16.0,0,1,39.4,2,1
855,0,2,1,44.0,1,0,26.0,2,3
856,1,3,1,18.0,0,1,9.35,2,3
857,1,1,1,45.0,1,1,164.8667,2,3
858,1,1,0,51.0,0,0,26.55,2,1
859,1,3,1,24.0,0,3,19.2583,0,3
860,0,3,0,28.0,0,0,7.2292,0,3
861,0,3,0,41.0,2,0,14.1083,2,3
862,0,2,0,21.0,1,0,11.5,2,3
863,1,1,1,48.0,0,0,25.9292,2,1
864,0,3,1,28.0,8,2,69.55,2,3
865,0,2,0,24.0,0,0,13.0,2,3
866,1,2,1,42.0,0,0,13.0,2,3
867,1,2,1,27.0,1,0,13.8583,0,3
868,0,1,0,31.0,0,0,50.4958,2,0
869,0,3,0,28.0,0,0,9.5,2,3
870,1,3,0,4.0,1,1,11.1333,2,3
871,0,3,0,26.0,0,0,7.8958,2,3
872,1,1,1,47.0,1,1,52.5542,2,1
873,0,1,0,33.0,0,0,5.0,2,0
874,0,3,0,47.0,0,0,9.0,2,3
875,1,2,1,28.0,1,0,24.0,0,3
876,1,3,1,15.0,0,0,7.225,0,3
877,0,3,0,20.0,0,0,9.8458,2,3
878,0,3,0,19.0,0,0,7.8958,2,3
879,0,3,0,28.0,0,0,7.8958,2,3
880,1,1,1,56.0,0,1,83.1583,0,0
881,1,2,1,25.0,0,1,26.0,2,3
882,0,3,0,33.0,0,0,7.8958,2,3
883,0,3,1,22.0,0,0,10.5167,2,3
884,0,2,0,28.0,0,0,10.5,2,3
885,0,3,0,25.0,0,0,7.05,2,3
886,0,3,1,39.0,0,5,29.125,1,3
887,0,2,0,27.0,0,0,13.0,2,3
888,1,1,1,19.0,0,0,30.0,2,0
889,0,3,1,28.0,1,2,23.45,2,3
890,1,1,0,26.0,0,0,30.0,0,0
891,0,3,0,32.0,0,0,7.75,1,3
